name;constellation;bayer;ra;dec;mag;bv
;Tau;δ3 Tau;04:25:29.38;17:55:40.48;4.30;0.05
;Tau;υ Tau;04:26:18.46;22:48:48.90;4.28;0.26
;Tau;π Tau;04:26:36.37;14:42:49.62;4.69;0.98
;Tau;θ1 Tau;04:28:34.49;15:57:43.85;3.84;0.95
Ain;Tau;ε Tau;04:28:36.99;19:10:49.55;3.53;1.01
Chamukuy;Tau;θ2 Tau;04:28:39.74;15:52:15.18;3.40;0.18
;Cae;δ Cae;04:30:50.10;-44:57:13.50;5.07;-0.19
Hoggar;Tau;;04:31:25.45;04:34:31.03;8.38;1.01
;Eri;υ1 Eri;04:33:30.56;-29:45:59.37;4.49;0.97
;Tau;ρ Tau;04:33:50.91;14:50:39.93;4.65;0.25
;Dor;α Dor;04:33:59.75;-55:02:41.91;3.30;-0.08
Theemin;Eri;υ2 Eri;04:35:33.04;-30:33:44.43;3.81;0.96
Aldebaran;Tau;α Tau;04:35:55.24;16:30:33.48;0.87;1.54
;Eri;ν Eri;04:36:19.14;-3:21:08.85;3.93;-0.21
Sceptrum;Eri;;04:38:10.82;-14:18:14.47;3.86;1.08
;Tau;σ1 Tau;04:39:09.22;15:47:59.45;5.08;0.14
;Tau;σ2 Tau;04:39:16.50;15:55:04.72;4.67;0.15
;Cae;α Cae;04:40:33.74;-41:51:49.51;4.44;0.34
;Cae;β Cae;04:42:03.47;-37:08:39.47;5.04;0.39
;Tau;τ Tau;04:42:14.70;22:57:24.93;4.27;-0.11
;Pic;λ Pic;04:42:46.44;-50:28:52.80;5.30;0.98
;Men;μ Men;04:43:03.95;-70:55:51.70;5.53;-0.11
;Dor;κ Dor;04:44:21.14;-59:43:57.84;5.28;0.21
;Eri;μ Eri;04:45:30.15;-3:15:16.77;4.01;-0.15
;Cae;ζ Cae;04:47:49.57;-30:01:13.34;6.35;1.07
Tabit;Ori;π3 Ori;04:49:50.41;06:57:40.59;3.19;0.48
Mouhoun;Eri;;04:50:17.86;-24:22:07.82;7.91;0.96
;Ori;π2 Ori;04:50:36.72;08:54:00.63;4.35;0.01
;Pic;ι Pic;04:50:55.34;-53:27:41.43;5.58;0.34
;Pic;ι Pic;04:50:56.53;-53:27:34.91;6.42;0.48
;Ori;π4 Ori;04:51:12.36;05:36:18.37;3.68;-0.16
;Ori;ο1 Ori;04:52:31.96;14:15:02.31;4.71;1.77
;Eri;ω Eri;04:52:53.67;-5:27:09.70;4.36;0.26
;Cam;α Cam;04:54:03.01;66:20:33.64;4.26;-0.01
;Ori;π5 Ori;04:54:15.09;02:26:26.42;3.71;-0.18
;Ori;π1 Ori;04:54:53.73;10:09:03.00;4.64;0.09
;Men;η Men;04:55:11.15;-74:56:12.67;5.47;1.52
;Ori;ο2 Ori;04:56:22.28;13:30:52.08;4.06;1.16
Hassaleh;Aur;ι Aur;04:56:59.62;33:09:57.92;2.69;1.49
;Ori;π6 Ori;04:58:32.90;01:42:50.46;4.47;1.37
;Men;ξ Men;04:58:50.98;-82:28:13.84;5.84;0.93
;Aur;ω Aur;04:59:15.40;37:53:24.88;4.93;0.04
;Eri;ψ Eri;05:01:26.35;-7:10:26.27;4.80;-0.16
Almaaz;Aur;ε Aur;05:01:58.13;43:49:23.91;3.03;0.54
Saclateni;Aur;ζ Aur;05:02:28.68;41:04:33.01;3.69;1.15
;Men;β Men;05:02:43.00;-71:18:51.48;5.30;1.00
;Pic;η1 Pic;05:02:48.70;-49:09:05.07;5.37;0.42
;Tau;ι Tau;05:03:05.75;21:35:23.86;4.62;0.16
;Cam;β Cam;05:03:25.09;60:26:32.08;4.03;0.92
;Cae;γ1 Cae;05:04:24.38;-35:28:58.72;4.55;1.18
;Cae;γ2 Cae;05:04:26.15;-35:42:18.39;6.32;0.31
;Pic;η2 Pic;05:04:57.99;-49:34:40.21;5.05;1.48
;Lep;ε Lep;05:05:27.66;-22:22:15.72;3.19;1.46
;Dor;ζ Dor;05:05:30.67;-57:28:21.73;4.71;0.53
Haedus;Aur;η Aur;05:06:30.89;41:14:04.11;3.18;-0.15
Cursa;Eri;β Eri;05:07:50.98;-5:05:11.21;2.78;0.16
;Eri;λ Eri;05:09:08.78;-8:45:14.69;4.25;-0.19
Mago;Cam;;05:09:36.65;69:38:21.84;6.43;1.10
Kapteyn's Star;Pic;;05:11:39.01;-45:01:06.30;8.86;1.54
;Lep;ι Lep;05:12:17.90;-11:52:09.19;4.45;-0.10
;Lep;μ Lep;05:12:55.90;-16:12:19.68;3.29;-0.11
;Lep;κ Lep;05:13:13.88;-12:56:28.65;4.36;-0.09
;Ori;ρ Ori;05:13:17.48;02:51:40.55;4.46;1.17
;Aur;μ Aur;05:13:25.72;38:29:04.19;4.82;0.19
;Dor;θ Dor;05:13:45.44;-67:11:06.92;4.81;1.27
Rigel;Ori;β Ori;05:14:32.27;-8:12:05.90;0.18;-0.03
Capella;Aur;α Aur;05:16:41.34;45:59:52.77;0.08;0.80
;Col;ο Col;05:17:29.08;-34:53:42.75;4.81;0.99
;Ori;τ Ori;05:17:36.39;-6:50:39.87;3.59;-0.12
;Aur;λ Aur;05:19:08.38;40:05:56.58;4.69;0.63
;Pic;ζ Pic;05:19:22.13;-50:36:21.48;5.44;0.52
;Lep;λ Lep;05:19:34.53;-13:10:36.44;4.29;-0.23
;Lep;ν Lep;05:19:59.02;-12:18:56.11;5.29;-0.10
;Aur;ρ Aur;05:21:48.41;41:48:16.46;5.22;-0.13
;Pic;κ Pic;05:22:22.15;-56:08:03.84;6.10;-0.09
;Ori;η Ori;05:24:28.62;-2:23:49.73;3.35;-0.24
;Aur;σ Aur;05:24:39.14;37:23:07.25;5.02;1.45
;Ori;ψ1 Ori;05:24:44.83;01:50:47.20;4.89;-0.20
;Pic;θ Pic;05:24:46.29;-52:18:58.48;6.26;0.07
Bellatrix;Ori;γ Ori;05:25:07.86;06:20:58.93;1.64;-0.22
Elnath;Tau;β Tau;05:26:17.51;28:36:26.82;1.65;-0.13
;Dor;λ Dor;05:26:19.27;-58:54:45.07;5.14;0.99
;Ori;ψ2 Ori;05:26:50.23;03:05:44.43;4.59;-0.20
;Aur;φ Aur;05:27:38.89;34:28:33.21;5.08;1.40
Nihal;Lep;β Lep;05:28:14.72;-20:45:33.99;2.81;0.81
;Col;ε Col;05:31:12.75;-35:28:13.87;3.86;1.13
;Men;γ Men;05:31:52.74;-76:20:27.47;5.18;1.13
;Ori;υ Ori;05:31:55.86;-7:18:05.53;4.62;-0.26
Mintaka;Ori;δ Ori;05:32:00.40;00:17:56.73;2.25;-0.17
;Aur;χ Aur;05:32:43.67;32:11:31.28;4.71;0.28
Arneb;Lep;α Lep;05:32:43.81;-17:49:20.24;2.58;0.21
;Dor;β Dor;05:33:37.52;-62:29:23.37;3.76;0.64
;Ori;φ1 Ori;05:34:49.24;09:29:22.48;4.39;-0.16
Meissa;Ori;λ Ori;05:35:08.28;09:56:02.97;3.39;-0.16
;Ori;θ1 Ori;05:35:16.47;-5:23:22.91;5.13;0.02
;Ori;θ1 Ori;05:35:17.20;-5:23:15.65;6.71;0.08
;Ori;θ2 Ori;05:35:22.90;-5:24:57.82;4.98;-0.10
Hatysa;Ori;ι Ori;05:35:25.98;-5:54:35.64;2.75;-0.21
;Men;ι Men;05:35:36.14;-78:49:15.02;6.04;-0.02
Alnilam;Ori;ε Ori;05:36:12.81;-1:12:06.91;1.69;-0.18
;Ori;φ2 Ori;05:36:54.39;09:17:26.42;4.09;0.95
Bubup;Men;;05:37:01.81;-73:41:57.63;6.69;0.58
;Men;π Men;05:37:08.98;-80:28:08.84;5.65;0.60
;Col;ν1 Col;05:37:16.50;-27:52:16.90;6.15;0.32
Tianguan;Tau;ζ Tau;05:37:38.69;21:08:33.18;2.97;-0.15
;Col;ν2 Col;05:37:44.62;-28:41:22.88;5.28;0.49
;Ori;σ Ori;05:38:44.77;-2:36:00.25;3.77;-0.19
;Ori;ω Ori;05:39:11.15;04:07:17.28;4.50;-0.10
Phact;Col;α Col;05:39:38.94;-34:04:26.79;2.65;-0.12
Alnitak;Ori;ζ Ori;05:40:45.53;-1:56:33.26;1.74;-0.20
;Lep;γ Lep;05:44:27.81;-22:26:54.18;3.59;0.48
;Dor;δ Dor;05:44:46.40;-65:44:07.89;4.34;0.22
;Aur;ο Aur;05:45:54.04;49:49:34.52;5.46;0.03
;Col;μ Col;05:45:59.89;-32:18:23.17;5.18;-0.27
;Lep;ζ Lep;05:46:57.34;-14:49:19.02;3.55;0.10
;Pic;β Pic;05:47:17.08;-51:03:59.45;3.85;0.17
Saiph;Ori;κ Ori;05:47:45.39;-9:40:10.58;2.07;-0.17
;Men;λ Men;05:47:48.14;-72:42:08.10;6.54;1.07
;Aur;τ Aur;05:49:10.44;39:10:51.86;4.51;0.95
;Pic;γ Pic;05:49:49.62;-56:09:59.99;4.50;1.08
;Dor;ε Dor;05:49:53.54;-66:54:04.27;5.10;-0.13
;Men;κ Men;05:50:16.80;-79:21:40.90;5.46;-0.08
Wazn;Col;β Col;05:50:57.58;-35:46:05.91;3.12;1.15
;Aur;υ Aur;05:51:02.43;37:18:20.06;4.72;1.62
;Lep;δ Lep;05:51:19.29;-20:52:44.72;3.76;0.98
;Aur;ν Aur;05:51:29.40;39:08:54.53;3.97;1.13
;Col;λ Col;05:53:06.88;-33:48:04.90;4.88;-0.15
;Ori;χ1 Ori;05:54:22.99;20:16:34.23;4.39;0.59
;Aur;ξ Aur;05:54:50.79;55:42:25.01;4.96;0.05
Betelgeuse;Ori;α Ori;05:55:10.30;07:24:25.43;0.45;1.50
;Col;ξ Col;05:55:29.91;-37:07:14.40;4.97;1.10
;Col;σ Col;05:56:20.94;-31:22:56.78;5.52;0.38
;Lep;η Lep;05:56:24.30;-14:10:03.72;3.71;0.34
;Col;γ Col;05:57:32.21;-35:16:59.81;4.36;-0.17
;Col;η Col;05:59:08.80;-42:48:54.49;3.96;1.15
;Aur;δ Aur;05:59:31.60;54:17:04.76;3.72;1.01
Menkalinan;Aur;β Aur;05:59:31.74;44:56:50.76;1.90;0.08
Mahasim;Aur;θ Aur;05:59:43.26;37:12:45.31;2.65;-0.08
;Aur;π Aur;05:59:56.10;45:56:12.25;4.30;1.70
;Ori;μ Ori;06:02:23.00;09:38:50.19;4.12;0.17
;Ori;χ2 Ori;06:03:55.18;20:08:18.43;4.64;0.24
;Lep;θ Lep;06:06:09.32;-14:56:06.91;4.67;0.05
;Dor;η1 Dor;06:06:09.37;-66:02:22.64;5.72;-0.02
;Col;π1 Col;06:06:41.05;-42:17:55.69;6.15;0.25
Elkurud;Col;θ Col;06:07:31.63;-37:15:10.51;5.00;-0.09
;Ori;ν Ori;06:07:34.32;14:46:06.50;4.42;-0.16
;Col;π2 Col;06:07:52.86;-42:09:14.55;5.50;0.01
;Dor;ν Dor;06:08:44.31;-68:50:36.27;5.06;-0.07
;Men;α Men;06:10:14.28;-74:45:10.96;5.08;0.71
;Pic;δ Pic;06:10:17.91;-54:58:07.12;4.72;-0.23
;Dor;η2 Dor;06:11:15.00;-65:35:21.90;5.01;1.60
;Ori;ξ Ori;06:11:56.40;14:12:31.55;4.45;-0.18
Amadioha;CMa;;06:13:35.65;-29:53:50.17;8.98;0.82
;Mon;γ Mon;06:14:51.33;-6:16:29.19;3.99;1.32
Propus;Gem;η Gem;06:14:52.66;22:30:24.48;3.31;1.60
;Aur;κ Aur;06:15:22.69;29:29:53.07;4.32;1.02
;Col;κ Col;06:16:33.14;-35:08:25.87;4.37;0.98
Red Rectangle;Mon;;06:19:58.22;-10:38:14.69;8.85;0.34
Furud;CMa;ζ CMa;06:20:18.79;-30:03:48.12;3.02;-0.16
;Col;δ Col;06:22:06.83;-33:26:11.04;3.85;0.86
;Dor;π1 Dor;06:22:38.24;-69:59:02.55;5.56;1.51
Mirzam;CMa;β CMa;06:22:41.98;-17:57:21.30;1.98;-0.24
;Pic;ν Pic;06:22:55.84;-56:22:11.89;5.60;0.24
Tejat;Gem;μ Gem;06:22:57.62;22:30:48.91;2.87;1.62
;Mon;ε Mon;06:23:46.09;04:35:34.31;4.39;0.22
Canopus;Car;α Car;06:23:57.10;-52:41:44.38;-0.62;0.16
;Aur;ψ1 Aur;06:24:53.90;49:17:16.41;4.92;1.90
;Dor;π2 Dor;06:25:28.64;-69:41:25.08;5.37;0.97
;CMa;λ CMa;06:28:10.21;-32:34:48.25;4.47;-0.17
Lucilinburhuc;Aur;;06:28:45.72;38:57:46.67;7.89;0.74
;Mon;β Mon;06:28:49.07;-7:01:59.02;3.76;-0.11
;Gem;ν Gem;06:28:57.79;20:12:43.68;4.13;-0.12
Lusitânia;Mon;;06:29:13.19;10:56:02.01;8.10;0.85
Ross 614;Mon;;06:29:23.40;-2:48:50.32;11.12;1.69
;CMa;ξ1 CMa;06:31:51.37;-23:25:06.32;4.34;-0.25
;Pic;μ Pic;06:31:58.31;-58:45:13.81;5.69;-0.06
;CMa;ξ2 CMa;06:35:03.39;-22:57:53.25;4.54;-0.04
;CMa;ν1 CMa;06:36:22.85;-18:39:35.65;5.71;0.85
;CMa;ν2 CMa;06:36:41.04;-19:15:21.16;3.95;1.04
Alhena;Gem;γ Gem;06:37:42.70;16:23:57.31;1.93;0.00
;Pup;ν Pup;06:37:45.67;-43:11:45.36;3.17;-0.10
;CMa;ν3 CMa;06:37:53.42;-18:14:14.92;4.42;1.14
;Aur;ψ3 Aur;06:38:49.18;39:54:09.21;5.34;-0.08
;Aur;ψ2 Aur;06:39:19.83;42:29:19.96;4.80;1.24
Nosaxa;Pup;;06:40:01.72;-48:32:31.04;8.05;0.75
;Men;ζ Men;06:40:02.91;-80:48:48.93;5.61;0.21
;Aur;ψ4 Aur;06:43:04.98;44:31:28.02;5.04;1.48
Mebsuta;Gem;ε Gem;06:43:55.93;25:07:52.05;3.06;1.38
Sirius;CMa;α CMa;06:45:08.93;-16:42:58.02;-1.44;0.01
Alzirr;Gem;ξ Gem;06:45:17.37;12:53:44.13;3.35;0.44
;Aur;ψ5 Aur;06:46:44.34;43:34:38.74;5.24;0.57
;Aur;ψ6 Aur;06:47:39.58;48:47:22.11;5.22;1.13
;Pic;α Pic;06:48:11.50;-61:56:29.01;3.24;0.22
;CMa;κ CMa;06:49:50.46;-32:30:30.52;3.50;-0.12
;Pup;τ Pup;06:49:56.16;-50:36:52.42;2.94;1.21
;Aur;ψ7 Aur;06:50:45.95;41:46:52.43;4.99;1.26
;Vol;ι Vol;06:51:26.98;-70:57:48.28;5.41;-0.11
Nervia;Aur;;06:51:30.51;40:52:03.92;8.10;0.73
;Gem;θ Gem;06:52:47.34;33:57:40.51;3.60;0.10
;Aur;ψ8 Aur;06:53:57.07;38:30:18.06;6.46;-0.04
;CMa;ο1 CMa;06:54:07.95;-24:11:03.16;3.89;1.74
;CMa;θ CMa;06:54:11.40;-12:02:19.06;4.08;1.42
;CMa;π CMa;06:55:37.43;-20:08:11.39;4.66;0.37
;CMa;μ CMa;06:56:06.64;-14:02:36.35;5.00;1.18
;CMa;ι CMa;06:56:08.22;-17:03:15.27;4.36;-0.06
;Aur;ψ9 Aur;06:56:32.06;46:16:26.39;5.85;-0.08
;Men;θ Men;06:56:34.48;-79:25:12.69;5.45;0.04
Adhara;CMa;ε CMa;06:58:37.55;-28:58:19.50;1.50;-0.21
Citalá;Mon;;07:00:18.04;-5:22:01.78;6.29;0.57
Nganurganity;CMa;σ CMa;07:01:43.15;-27:56:05.39;3.49;1.73
;Gem;ω Gem;07:02:24.78;24:12:55.61;5.20;0.95
;CMa;ο2 CMa;07:03:01.47;-23:49:59.85;3.02;-0.08
Muliphein;CMa;γ CMa;07:03:45.49;-15:37:59.83;4.11;-0.11
Mekbuda;Gem;ζ Gem;07:04:06.53;20:34:13.07;4.01;0.90
Wezen;CMa;δ CMa;07:08:23.49;-26:23:35.52;1.83;0.67
;Vol;γ1 Vol;07:08:42.35;-70:29:49.51;5.68;0.44
;Vol;γ2 Vol;07:08:44.84;-70:29:56.16;3.78;1.01
;Gem;τ Gem;07:11:08.37;30:14:42.59;4.41;1.26
;Mon;δ Mon;07:11:51.86;00:29:33.95;4.15;-0.00
;CMa;ω CMa;07:14:48.66;-26:46:21.60;4.01;-0.15
;Vol;δ Vol;07:16:49.83;-67:57:25.75;3.97;0.76
;Pup;π Pup;07:17:08.56;-37:05:50.89;2.71;1.62
;Gem;λ Gem;07:18:05.58;16:32:25.38;3.58;0.11
;CMa;τ CMa;07:18:42.49;-24:57:15.75;4.37;-0.13
Wasat;Gem;δ Gem;07:20:07.38;21:58:56.35;3.50;0.37
Aludra;CMa;η CMa;07:24:05.70;-29:18:11.17;2.45;-0.08
;Men;ε Men;07:25:38.17;-79:05:39.08;5.54;1.28
;CMi;ε CMi;07:25:38.90;09:16:33.95;4.99;0.99
;Gem;ι Gem;07:25:43.60;27:47:53.09;3.78;1.02
Gomeisa;CMi;β CMi;07:27:09.04;08:17:21.53;2.89;-0.10
Luyten's Star;CMi;;07:27:24.50;05:13:32.83;9.84;1.57
;CMi;η CMi;07:28:02.07;06:56:31.08;5.22;0.22
;CMi;γ CMi;07:28:09.79;08:55:31.91;4.33;1.42
;Gem;ρ Gem;07:29:06.70;31:47:04.38;4.16;0.32
;Pup;σ Pup;07:29:13.84;-43:18:05.16;3.25;1.51
;CMi;δ1 CMi;07:32:05.95;01:54:52.13;5.24;0.23
;CMi;δ2 CMi;07:33:11.67;03:17:25.36;5.59;0.32
;CMi;δ3 CMi;07:34:15.89;03:22:18.21;5.83;-0.02
Castor;Gem;α Gem;07:34:35.88;31:53:17.79;1.58;0.03
;Gem;υ Gem;07:35:55.35;26:53:44.67;4.06;1.54
Jishui;Gem;ο Gem;07:39:09.94;34:35:03.65;4.89;0.41
Procyon;CMi;α CMi;07:39:18.12;05:13:29.97;0.40;0.43
Ceibo;Cha;;07:39:21.90;-78:16:44.30;9.37;1.01
;Mon;α Mon;07:41:14.83;-9:33:04.07;3.94;1.02
;Vol;ζ Vol;07:41:49.21;-72:36:21.95;3.93;1.03
;Gem;σ Gem;07:43:18.72;28:53:00.64;4.23;1.12
;Gem;κ Gem;07:44:26.85;24:23:52.77;3.57;0.93
Pollux;Gem;β Gem;07:45:19.00;28:01:34.32;1.16;0.99
;Gem;π Gem;07:47:30.33;33:24:56.51;5.14;1.63
Tapecue;Car;;07:47:49.66;-54:15:50.92;8.10;0.75
;Pup;ο Pup;07:48:05.17;-25:56:13.81;4.40;-0.07
Azmidi;Pup;ξ Pup;07:49:17.66;-24:51:35.23;3.34;1.22
;CMi;ζ CMi;07:51:41.99;01:46:00.72;5.12;-0.12
;Gem;φ Gem;07:53:29.82;26:45:56.82;4.97;0.10
;Car;χ Car;07:56:46.73;-52:58:56.50;3.46;-0.18
;Cnc;ω1 Cnc;08:00:55.87;25:23:34.21;5.87;1.02
;Cnc;ω2 Cnc;08:01:43.76;25:05:22.07;6.32;0.02
;Gem;χ Gem;08:03:31.08;27:47:39.60;4.94;1.13
Naos;Pup;ζ Pup;08:03:35.05;-40:00:11.33;2.21;-0.27
;Cnc;μ1 Cnc;08:06:18.40;22:38:07.76;5.96;1.65
Tureis;Pup;ρ Pup;08:07:32.65;-24:18:15.57;2.83;0.46
;Cnc;μ2 Cnc;08:07:45.85;21:34:54.54;5.30;0.64
;Vol;ε Vol;08:07:55.82;-68:37:01.42;4.35;-0.11
;Mon;ζ Mon;08:08:35.65;-2:59:01.63;4.36;0.97
;Vel;γ2 Vel;08:09:31.95;-47:20:11.72;1.75;-0.14
;Cnc;ψ Cnc;08:10:27.18;25:30:26.40;5.73;0.82
Tegmine;Cnc;ζ2 Cnc;08:12:12.73;17:38:51.98;4.67;0.53
Tarf;Cnc;β Cnc;08:16:30.92;09:11:07.96;3.53;1.48
Násti;UMa;;08:18:22.09;61:27:38.60;8.20;0.65
;Cha;α Cha;08:18:31.33;-76:55:11.00;4.05;0.41
;Vol;κ1 Vol;08:19:48.99;-71:30:53.66;5.33;-0.06
;Vol;κ2 Vol;08:20:00.55;-71:30:19.36;5.63;-0.10
;Cnc;χ Cnc;08:20:03.86;27:13:03.75;5.13;0.49
Piautos;Cnc;λ Cnc;08:20:32.14;24:01:20.33;5.92;-0.04
;Cha;θ Cha;08:20:38.81;-77:29:04.12;4.34;1.16
;Vol;η Vol;08:22:04.50;-73:23:59.95;5.28;0.01
Avior;Car;ε Car;08:22:30.85;-59:30:34.14;1.86;1.20
Alsciaukat;Lyn;;08:22:50.12;43:11:17.27;4.25;1.55
;Vol;β Vol;08:25:44.22;-66:08:12.80;3.77;1.13
;Cnc;φ1 Cnc;08:26:27.71;27:53:36.90;5.58;1.42
;Cnc;φ2 Cnc;08:26:47.07;26:56:07.76;6.30;0.19
Muscida;UMa;ο UMa;08:30:15.95;60:43:05.41;3.35;0.86
;Cnc;υ1 Cnc;08:31:30.52;24:04:51.98;5.71;0.33
;Cnc;θ Cnc;08:31:35.73;18:05:39.91;5.33;1.57
;Cnc;η Cnc;08:32:42.50;20:26:28.18;5.33;1.25
;Cnc;υ2 Cnc;08:33:00.11;24:05:05.24;6.35;1.03
;Hya;δ Hya;08:37:39.37;05:42:13.62;4.14;0.00
;Pyx;η Pyx;08:37:52.15;-26:15:18.00;5.24;-0.03
Minchir;Hya;σ Hya;08:38:45.44;03:20:29.17;4.45;1.22
;Vol;θ Vol;08:39:05.14;-70:23:12.28;5.19;0.01
;UMa;π1 UMa;08:39:11.73;65:01:15.27;5.63;0.62
Gakyid;Cnc;;08:39:15.80;12:57:37.35;8.23;0.96
;Pyx;ζ Pyx;08:39:42.48;-29:33:39.90;4.86;0.90
;Pyx;β Pyx;08:40:06.14;-35:18:30.07;3.97;0.94
;UMa;π2 UMa;08:40:12.86;64:19:40.57;4.59;1.18
;Vel;ο Vel;08:40:17.59;-52:55:18.79;3.60;-0.17
Meleph;Cnc;ε Cnc;08:40:27.01;19:32:41.31;6.29;0.17
;Cha;η Cha;08:41:19.58;-78:57:48.09;5.46;-0.10
;Hya;η Hya;08:43:13.48;03:23:55.18;4.30;-0.19
Asellus Borealis;Cnc;γ Cnc;08:43:17.15;21:28:06.60;4.66;0.01
;Pyx;α Pyx;08:43:35.54;-33:11:10.99;3.68;-0.18
Asellus Australis;Cnc;δ Cnc;08:44:41.10;18:09:15.51;3.94;1.08
Alsephina;Vel;δ Vel;08:44:42.21;-54:42:31.76;1.93;0.04
;Cnc;ι Cnc;08:46:39.98;28:45:54.21;6.58;0.05
;Cnc;ι Cnc;08:46:41.82;28:45:35.63;4.03;1.01
Ashlesha;Hya;ε Hya;08:46:46.51;06:25:07.71;3.38;0.69
;Hya;ρ Hya;08:48:25.97;05:50:16.12;4.35;-0.04
;Pyx;γ Pyx;08:50:31.93;-27:42:35.44;4.02;1.27
;Cnc;σ1 Cnc;08:52:34.62;32:28:26.97;5.67;0.22
Copernicus;Cnc;ρ1 Cnc;08:52:35.85;28:19:50.95;5.96;0.87
Stribor;Lyn;;08:53:50.82;33:03:24.52;8.03;0.63
;Hya;ζ Hya;08:55:23.63;05:56:44.03;3.11;0.98
;Pyx;δ Pyx;08:55:31.56;-27:40:54.74;4.87;0.14
;Cnc;ρ2 Cnc;08:55:39.68;27:55:38.93;5.23;1.00
;Oct;ζ Oct;08:56:41.82;-85:39:47.35;5.43;0.31
;Cnc;σ2 Cnc;08:56:56.60;32:54:37.55;5.44;0.18
;Cnc;ο1 Cnc;08:57:14.95;15:19:21.94;5.22;0.15
;Cnc;ο2 Cnc;08:57:35.20;15:34:52.61;5.68;0.21
Acubens;Cnc;α Cnc;08:58:29.22;11:51:27.72;4.26;0.14
Talitha;UMa;ι UMa;08:59:12.58;48:02:30.57;3.12;0.22
;Cnc;σ3 Cnc;08:59:32.66;32:25:06.81;5.23;0.91
Ross 687;Hya;;09:00:50.33;05:14:29.56;12.37;1.46
Ross 686;Hya;;09:00:50.42;05:14:31.26;12.68;1.47
;Vol;α Vol;09:02:26.80;-66:23:45.87;4.00;0.14
;UMa;ρ UMa;09:02:32.71;67:37:46.63;4.74;1.54
;Cnc;ν Cnc;09:02:44.26;24:27:10.49;5.45;-0.04
Alkaphrah;UMa;κ UMa;09:03:37.54;47:09:23.49;3.57;0.01
;Hya;ω Hya;09:05:58.37;05:05:32.34;4.99;1.19
;Cnc;κ Cnc;09:07:44.81;10:40:05.49;5.23;-0.09
Suhail;Vel;λ Vel;09:07:59.76;-43:25:57.32;2.23;1.66
;Cnc;τ Cnc;09:08:00.05;29:39:15.25;5.42;0.89
;Pyx;κ Pyx;09:08:02.88;-25:51:30.73;4.62;1.59
